Tags,Words,C,AUC
13,225,0.1,0.9254
13,225,0.5,0.9254
13,225,1.0,0.9254
13,225,5.0,0.9254
13,225,10.0,0.9254
13,250,0.01,0.9252
13,250,0.1,0.9254
13,250,0.5,0.9254
13,250,1.0,0.9254
13,250,5.0,0.9254
13,250,10.0,0.9254
13,275,0.01,0.9252
13,275,0.5,0.9254
13,275,0.1,0.9254
13,275,1.0,0.9254
13,275,5.0,0.9254
13,300,0.01,0.9252
13,275,10.0,0.9254
13,300,5.0,0.9254
13,300,0.1,0.9254
13,300,0.5,0.9254
13,300,1.0,0.9254
13,300,10.0,0.9254
13,325,0.01,0.9252
13,325,0.1,0.9254
13,325,0.5,0.9254
13,325,1.0,0.9254
13,325,5.0,0.9254
13,325,10.0,0.9254
13,350,0.01,0.9252
13,350,0.5,0.9254
13,350,0.1,0.9254
13,350,1.0,0.9254
13,350,10.0,0.9254
13,350,5.0,0.9254
13,400,0.01,0.9252
13,400,0.1,0.9254
13,400,0.5,0.9254
13,400,1.0,0.9254
13,400,5.0,0.9255
13,400,10.0,0.9255
13,450,0.01,0.9252
13,450,0.1,0.9254
13,450,0.5,0.9254
13,450,1.0,0.9254
13,450,5.0,0.9254
13,450,10.0,0.9254
13,500,0.01,0.9252
13,500,0.1,0.9254
13,500,0.5,0.9254
13,500,5.0,0.9254
13,500,10.0,0.9254
13,550,0.01,0.9252
13,500,1.0,0.9254
13,550,0.1,0.9254
13,550,0.5,0.9254
13,550,1.0,0.9254
13,550,5.0,0.9254
13,550,10.0,0.9254
13,600,0.01,0.9252
13,600,0.1,0.9254
13,600,0.5,0.9254
13,600,1.0,0.9254
13,600,10.0,0.9254
13,600,5.0,0.9254
14,50,0.01,0.9252
14,50,0.1,0.9254
14,50,0.5,0.9254
14,50,1.0,0.9254
14,50,5.0,0.9254
14,50,10.0,0.9254
14,75,0.01,0.9252
14,75,0.1,0.9254
14,75,0.5,0.9254
14,75,1.0,0.9254
14,75,5.0,0.9254
14,100,0.01,0.9252
14,75,10.0,0.9255
14,100,0.5,0.9254
14,100,0.1,0.9254
14,100,1.0,0.9254
14,100,5.0,0.9255
14,100,10.0,0.9255
14,150,0.01,0.9252
14,150,0.1,0.9254
14,150,0.5,0.9255
14,150,1.0,0.9255
14,150,5.0,0.9255
14,150,10.0,0.9255
14,200,0.01,0.9252
14,200,0.1,0.9254
14,200,0.5,0.9254
14,200,5.0,0.9254
14,200,1.0,0.9254
14,200,10.0,0.9254
14,225,0.01,0.9252
14,225,0.1,0.9254
14,225,0.5,0.9254
14,225,1.0,0.9254
14,225,5.0,0.9254
14,225,10.0,0.9254
14,250,0.01,0.9252
14,250,0.1,0.9254
14,250,1.0,0.9254
14,250,0.5,0.9254
14,250,5.0,0.9254
14,250,10.0,0.9254
14,275,0.01,0.9252
14,275,0.1,0.9254
14,275,0.5,0.9254
14,275,1.0,0.9254
14,275,5.0,0.9255
14,275,10.0,0.9255
14,300,0.01,0.9252
14,300,0.1,0.9254
14,300,0.5,0.9254
14,300,1.0,0.9254
14,300,5.0,0.9255
14,300,10.0,0.9255
14,325,0.1,0.9254
14,325,0.01,0.9252
14,325,1.0,0.9254
14,325,5.0,0.9255
14,325,0.5,0.9254
14,350,0.1,0.9254
14,350,0.01,0.9252
14,325,10.0,0.9255
14,350,0.5,0.9254
14,350,1.0,0.9254
14,350,5.0,0.9255
14,350,10.0,0.9255
14,400,0.1,0.9254
14,400,0.01,0.9252
14,400,0.5,0.9255
14,400,1.0,0.9255
14,400,5.0,0.9255
14,400,10.0,0.9255
14,450,0.1,0.9254
14,450,0.5,0.9255
14,450,0.01,0.9252
14,450,1.0,0.9255
14,450,10.0,0.9255
14,450,5.0,0.9255
14,500,0.1,0.9254
14,500,0.01,0.9252
14,500,0.5,0.9255
14,500,1.0,0.9255
14,500,5.0,0.9255
14,500,10.0,0.9255
14,550,0.01,0.9252
14,550,0.1,0.9254
14,550,0.5,0.9255
14,550,1.0,0.9255
14,550,5.0,0.9255
14,550,10.0,0.9255
14,600,0.01,0.9252
14,600,0.1,0.9254
14,600,1.0,0.9254
14,600,0.5,0.9254
14,600,5.0,0.9255
15,50,0.01,0.9249
14,600,10.0,0.9255
15,50,0.1,0.9251
15,50,0.5,0.9252
15,50,1.0,0.9252
15,50,5.0,0.9252
15,50,10.0,0.9252
15,75,0.01,0.9249
15,75,0.1,0.9251
15,75,0.5,0.9252
15,75,5.0,0.9252
15,75,10.0,0.9252
15,75,1.0,0.9252
15,100,0.01,0.9249
15,100,0.1,0.9251
15,100,1.0,0.9252
15,100,0.5,0.9252
15,100,5.0,0.9252
15,100,10.0,0.9252
15,150,0.01,0.9249
15,150,0.1,0.9252
15,150,0.5,0.9252
15,150,1.0,0.9252
15,150,5.0,0.9252
15,150,10.0,0.9252
15,200,0.01,0.9249
15,200,0.5,0.9252
15,200,1.0,0.9252
15,200,0.1,0.9251
15,200,5.0,0.9252
15,200,10.0,0.9252
15,225,0.01,0.9249
15,225,0.1,0.9251
15,225,0.5,0.9252
15,225,1.0,0.9252
15,225,5.0,0.9252
15,225,10.0,0.9252
15,250,0.1,0.9251
15,250,0.5,0.9252
15,250,0.01,0.9249
15,250,1.0,0.9252
15,250,10.0,0.9252
15,250,5.0,0.9252
15,275,0.01,0.9249
15,275,0.1,0.9251
15,275,0.5,0.9252
15,275,1.0,0.9252
15,275,5.0,0.9252
15,300,0.01,0.9249
15,275,10.0,0.9252
15,300,0.1,0.9251
15,300,0.5,0.9252
15,300,1.0,0.9252
15,300,5.0,0.9252
15,300,10.0,0.9252
15,325,0.01,0.9249
15,325,0.1,0.9251
15,325,0.5,0.9252
15,325,1.0,0.9252
15,325,5.0,0.9252
15,325,10.0,0.9252
15,350,0.01,0.9249
15,350,0.1,0.9251
15,350,0.5,0.9252
15,350,1.0,0.9252
15,350,10.0,0.9252
15,350,5.0,0.9252
15,400,0.01,0.9249
15,400,0.1,0.9252
15,400,1.0,0.9252
15,400,0.5,0.9252
15,400,5.0,0.9252
15,400,10.0,0.9252
15,450,0.01,0.9249
15,450,0.1,0.9251
15,450,0.5,0.9252
15,450,1.0,0.9252
15,450,10.0,0.9252
15,450,5.0,0.9252
15,500,0.01,0.9249
15,500,0.1,0.9251
15,500,0.5,0.9252
15,500,1.0,0.9252
15,500,5.0,0.9252
15,500,10.0,0.9252
15,550,0.1,0.9251
15,550,0.01,0.9249
15,550,1.0,0.9252
15,550,0.5,0.9252
15,550,5.0,0.9252
15,600,0.01,0.9249
15,550,10.0,0.9252
15,600,0.1,0.9251
15,600,5.0,0.9252
15,600,0.5,0.9252
15,600,1.0,0.9252
15,600,10.0,0.9252
